Date/Time,PM10 BAM ug/m3,PM2.5 BAM ug/m3,Temperature Deg C,Barometric Pressure atm
1/12/2019 1:00,18.1,2.8,12.7,0.998
1/12/2019 2:00,17.2,6.1,11.6,0.997
1/12/2019 3:00,8.9,,10.9,0.996
1/12/2019 4:00,5.3,-1.9,10.8,0.995
1/12/2019 5:00,0.3,-1,11.1,0.995
1/12/2019 6:00,8.2,1.6,11.6,0.994
1/12/2019 7:00,9.1,1.7,12.4,0.994
1/12/2019 8:00,1,-0.7,13.4,0.993
1/12/2019 9:00,5.6,-0.4,13.5,0.993
1/12/2019 10:00,7.4,3,14.2,0.993
1/12/2019 11:00,10.5,7,15.1,0.993
1/12/2019 12:00,22.2,7.7,15.5,0.992
1/12/2019 13:00,21.9,7,15.9,0.991
1/12/2019 14:00,24,7.7,15.8,0.991
1/12/2019 15:00,29.1,5.3,15.8,0.991
1/12/2019 16:00,26.2,9.8,15.3,0.99
1/12/2019 17:00,28.4,8.8,15,0.99
1/12/2019 18:00,29.7,7.5,14.4,0.99
1/12/2019 19:00,30.3,6.7,13.6,0.99
1/12/2019 20:00,12.4,5.4,13.6,0.99
1/12/2019 21:00,7.3,1.7,13.2,0.99
1/12/2019 22:00,4.1,3.3,14.1,0.989
1/12/2019 23:00,13.4,7.8,14.2,0.989
2/12/2019 0:00,25.7,4.6,13.9,0.989
2/12/2019 1:00,21.4,2.2,13.7,0.989
2/12/2019 2:00,13.4,3.1,13.4,0.989
2/12/2019 3:00,15.7,5,12.9,0.989
2/12/2019 4:00,22.5,6.1,12.4,0.989
2/12/2019 5:00,15.2,5.7,12,0.99
2/12/2019 6:00,19.2,4.4,12.2,0.99
2/12/2019 7:00,17.6,4.1,11.2,0.991
2/12/2019 8:00,4.7,2.9,11.3,0.992
2/12/2019 9:00,7.9,,12.9,0.992
2/12/2019 10:00,16.4,10,14.1,0.993
2/12/2019 11:00,15.4,7.2,15.3,0.993
2/12/2019 12:00,19.6,8.7,16.3,0.994
2/12/2019 13:00,21.3,5.9,16.9,0.994
2/12/2019 14:00,19.3,7.2,16.9,0.994
2/12/2019 15:00,15.1,9.4,16.8,0.994
2/12/2019 16:00,14.4,3.3,17,0.994
2/12/2019 17:00,14.1,,16.9,0.995
2/12/2019 18:00,14.4,2.5,16.1,0.995
2/12/2019 19:00,31,4.3,15.5,0.996
2/12/2019 20:00,16.5,1.3,15.1,0.996
2/12/2019 21:00,14.6,8.9,14.6,0.997
2/12/2019 22:00,17.9,7.9,14.1,0.997
2/12/2019 23:00,18.8,5.7,14,0.997
3/12/2019 0:00,20.3,1.7,13.9,0.997
3/12/2019 1:00,21.2,,13.4,0.997
3/12/2019 2:00,25.6,5.1,13.4,0.997
3/12/2019 3:00,45.1,3.5,13.6,0.997
3/12/2019 4:00,42.3,10.3,13.6,0.997
3/12/2019 5:00,32.6,10.1,13.5,0.997
3/12/2019 6:00,32.7,10.3,13.5,0.998
3/12/2019 7:00,23.8,10.5,13.5,0.998
3/12/2019 8:00,12.6,-0.4,13.8,0.999
3/12/2019 9:00,18.8,5.3,14.3,0.999
3/12/2019 10:00,17.6,7.4,15.8,1
3/12/2019 11:00,12.9,4.6,16.9,1
3/12/2019 12:00,9,11.1,18.5,1
3/12/2019 13:00,6.4,2.3,18,1
3/12/2019 14:00,13.7,2.8,18.2,0.999
3/12/2019 15:00,14.8,3.5,18.4,0.999
3/12/2019 16:00,17.3,-0.4,18.2,0.998
3/12/2019 17:00,24.6,0.1,17.9,0.999
3/12/2019 18:00,17.8,5,17.1,0.999
3/12/2019 19:00,13,3.6,16,1
3/12/2019 20:00,16.4,5,15.3,1
3/12/2019 21:00,21.6,5.8,15,1.001
3/12/2019 22:00,21,8.8,14.9,1.001
3/12/2019 23:00,24.7,6.8,15,1.001
4/12/2019 0:00,28.8,4.4,14.6,1.001
4/12/2019 1:00,23.5,3.7,14.6,1
4/12/2019 2:00,19.7,5.4,14.3,1
4/12/2019 3:00,23.2,8.4,14,1
4/12/2019 4:00,18.4,4.8,13.8,1
4/12/2019 5:00,17.5,5.2,13.8,1
4/12/2019 6:00,21.9,6.1,14.1,1.001
4/12/2019 7:00,22.1,1.9,14.8,1.001
4/12/2019 8:00,28.7,7.6,15.6,1.002
4/12/2019 9:00,21.3,,16.6,1.002
4/12/2019 10:00,18.5,14.1,19.3,1.002
4/12/2019 11:00,15.1,8.5,20.9,1.002
4/12/2019 12:00,18.6,9,21.7,1.001
4/12/2019 13:00,19.3,7.9,21.7,1.001
4/12/2019 14:00,23.2,7.4,21.1,1
4/12/2019 15:00,22.6,5.1,20.8,1
4/12/2019 16:00,25.1,6.7,20.8,1
4/12/2019 17:00,28.9,,20.1,0.999
4/12/2019 18:00,22.7,2.6,18.7,0.999
4/12/2019 19:00,13.9,1.8,17.9,0.999
4/12/2019 20:00,17.5,8.1,17,0.999
4/12/2019 21:00,18.2,8.1,16.4,0.999
4/12/2019 22:00,16.4,5.1,15.7,0.999
4/12/2019 23:00,15.4,5.1,14.5,0.999
5/12/2019 0:00,25.3,6,14.1,0.999
5/12/2019 1:00,15.6,,14.1,0.998
5/12/2019 2:00,10.1,2,14.1,0.998
5/12/2019 3:00,10.2,1.8,14.1,0.997
5/12/2019 4:00,15.4,6,13.7,0.997
5/12/2019 5:00,19,7.4,13.3,0.997
5/12/2019 6:00,17,6.3,13.2,0.998
5/12/2019 7:00,21.1,7.3,14.6,0.998
5/12/2019 8:00,19.9,6.8,17.4,0.999
5/12/2019 9:00,12,13.9,19.4,0.999
5/12/2019 10:00,10.3,9.4,21.4,0.999
5/12/2019 11:00,15.6,9.1,23.6,0.999
5/12/2019 12:00,18.4,7.9,25.1,0.998
5/12/2019 13:00,18.8,7.9,23.9,0.998
5/12/2019 14:00,18.9,0.7,22.5,0.998
5/12/2019 15:00,11.8,2,21.8,0.997
5/12/2019 16:00,15.4,9.7,20.8,0.997
5/12/2019 17:00,16.9,9.6,20.4,0.997
5/12/2019 18:00,7.6,,19.1,0.997
5/12/2019 19:00,7.9,5.5,18.4,0.997
5/12/2019 20:00,22.4,9.6,17.8,0.997
5/12/2019 21:00,21.6,7.4,17.5,0.998
5/12/2019 22:00,22,9.4,16.4,0.998
5/12/2019 23:00,21.5,7.1,15.2,0.998
6/12/2019 0:00,22.7,4.3,14.2,0.998
6/12/2019 1:00,14.2,9.2,13.3,0.998
6/12/2019 2:00,12,4.9,12.8,0.998
6/12/2019 3:00,10.5,3.9,12.3,0.998
6/12/2019 4:00,10.3,7,11.7,0.998
6/12/2019 5:00,7.2,0.9,11.1,0.999
6/12/2019 6:00,8,2.6,11.3,0.999
6/12/2019 7:00,9.3,1.8,12.6,1
6/12/2019 8:00,13,5,14.6,1.001
6/12/2019 9:00,14.6,,16.4,1.001
6/12/2019 10:00,17.6,4.3,19.5,1.001
6/12/2019 11:00,,,,
6/12/2019 12:00,,0.9,19.8,0.999
6/12/2019 13:00,,8.8,19,0.999
6/12/2019 14:00,,8.5,18,0.999
6/12/2019 15:00,5.2,7.9,18.4,0.998
6/12/2019 16:00,14.2,10.1,18.6,0.998
6/12/2019 17:00,16.4,9.9,18.4,0.998
6/12/2019 18:00,18.3,9.1,17.5,0.999
6/12/2019 19:00,15.8,6.6,16.8,0.999
6/12/2019 20:00,17,8,15.7,1
6/12/2019 21:00,13.3,5,13.5,1
6/12/2019 22:00,12.7,0.5,12.8,1
6/12/2019 23:00,6.6,3,12.4,1.001
7/12/2019 0:00,10.3,5.6,11.6,1
7/12/2019 1:00,10.3,8.3,11.3,1
7/12/2019 2:00,11,7.2,10.8,1
7/12/2019 3:00,12.1,0.7,10.3,1
7/12/2019 4:00,15.1,2.2,9.9,1
7/12/2019 5:00,11.5,4.5,9.8,1
7/12/2019 6:00,13.5,2.9,9.8,1
7/12/2019 7:00,12.7,3.8,11.7,1
7/12/2019 8:00,11.1,6.2,15.5,1.001
7/12/2019 9:00,6.5,6.4,18.4,1
7/12/2019 10:00,9.7,3.5,21.1,1
7/12/2019 11:00,12.4,8.1,23.2,1
7/12/2019 12:00,16.5,10.3,22.2,0.999
7/12/2019 13:00,18.8,5,21.4,0.999
7/12/2019 14:00,16.7,7.4,21.4,0.998
7/12/2019 15:00,25.2,5.8,20.6,0.998
7/12/2019 16:00,25.7,0.7,20.4,0.997
7/12/2019 17:00,26.5,2.4,21,0.997
7/12/2019 18:00,21.8,11.1,22.1,0.997
7/12/2019 19:00,24,16.3,22.4,0.998
7/12/2019 20:00,24.1,12.1,20.5,0.998
7/12/2019 21:00,19.4,10.8,19.3,0.998
7/12/2019 22:00,30.2,6.4,18.5,0.998
7/12/2019 23:00,15.8,7.1,19,0.998
8/12/2019 0:00,6.1,5.5,19.3,0.997
8/12/2019 1:00,7.6,5,19.6,0.997
8/12/2019 2:00,10.2,4.1,19.7,0.996
8/12/2019 3:00,9.5,5.9,19.2,0.996
8/12/2019 4:00,11.3,3.6,19.5,0.996
8/12/2019 5:00,13.7,5.3,19.9,0.996
8/12/2019 6:00,7.9,1.8,19.8,0.996
8/12/2019 7:00,13.5,6.4,21.8,0.996
8/12/2019 8:00,7.7,1.1,25.6,0.996
8/12/2019 9:00,11.5,-1,28.7,0.996
8/12/2019 10:00,12,-0.5,33.3,0.995
8/12/2019 11:00,11.1,3,36.6,0.995
8/12/2019 12:00,16.8,5.2,37.5,0.994
8/12/2019 13:00,19.5,5.9,37,0.994
8/12/2019 14:00,26.7,3.2,34.5,0.994
8/12/2019 15:00,19.5,4.8,34.3,0.993
8/12/2019 16:00,14.3,3.5,34.3,0.993
8/12/2019 17:00,15,5.9,34.4,0.993
8/12/2019 18:00,13,6.2,33.6,0.993
8/12/2019 19:00,14.6,6.7,32.4,0.993
8/12/2019 20:00,18.5,5.9,30.4,0.992
8/12/2019 21:00,18.1,5.2,29,0.992
8/12/2019 22:00,13.3,3.5,29.1,0.992
8/12/2019 23:00,10.5,2,30,0.992
9/12/2019 0:00,15.5,1.6,29.6,0.992
9/12/2019 1:00,16.1,-0.8,28,0.993
9/12/2019 2:00,18.8,2.9,25.8,0.992
9/12/2019 3:00,16.8,1.2,26.4,0.992
9/12/2019 4:00,19.7,5.2,24.5,0.993
9/12/2019 5:00,24.9,8.4,22.7,0.994
9/12/2019 6:00,31.5,6.6,21.7,0.994
9/12/2019 7:00,37.4,1,20.5,0.996
9/12/2019 8:00,30.4,4.8,20,0.997
9/12/2019 9:00,38.8,14.3,21.8,0.998
9/12/2019 10:00,42.1,15.5,23.2,0.999
9/12/2019 11:00,43.4,19.7,25,0.999
9/12/2019 12:00,47.2,14.8,22.5,0.999
9/12/2019 13:00,45.4,13,20.5,1
9/12/2019 14:00,33,10.5,19.1,1
9/12/2019 15:00,30.1,11.4,19,1.001
9/12/2019 16:00,33.8,10.2,19.7,1
9/12/2019 17:00,27.9,,20.3,0.999
9/12/2019 18:00,16.8,6.8,21,0.999
9/12/2019 19:00,27.1,2.6,18.3,0.999
9/12/2019 20:00,18.3,5.6,18.1,1
9/12/2019 21:00,13.4,5.5,16.3,1.001
9/12/2019 22:00,15.8,4.7,16.2,1.001
9/12/2019 23:00,16.4,6.9,15.8,1.002
10/12/2019 0:00,18.3,1.5,14.6,1.002
10/12/2019 1:00,3.8,-3,13.7,1.002
10/12/2019 2:00,4.9,,13.3,1.002
10/12/2019 3:00,1.2,2.3,13.1,1.002
10/12/2019 4:00,3.2,0.1,12.7,1.002
10/12/2019 5:00,4.1,4.4,12.6,1.002
10/12/2019 6:00,5.6,3.4,12.5,1.003
10/12/2019 7:00,3.7,1.1,14.1,1.003
10/12/2019 8:00,2.5,,17.2,1.003
10/12/2019 9:00,3.6,6.3,17.9,1.003
10/12/2019 10:00,4.3,3.6,20.7,1.003
10/12/2019 11:00,2.3,5,22.4,1.003
10/12/2019 12:00,3.5,4.2,23.9,1.002
10/12/2019 13:00,8.5,6.4,23.4,1.002
10/12/2019 14:00,14.1,6.5,22.7,1.001
10/12/2019 15:00,17.8,4.2,23.2,1.001
10/12/2019 16:00,21.4,5.5,22.4,1.001
10/12/2019 17:00,21.2,4.7,21.7,1
10/12/2019 18:00,19,7.7,20.1,1
10/12/2019 19:00,22.5,11.1,18.4,1.001
10/12/2019 20:00,21.3,6.6,16.5,1.001
10/12/2019 21:00,21.4,1.9,15,1.002
10/12/2019 22:00,18,5.7,14.3,1.002
10/12/2019 23:00,18.2,4,13.8,1.002
11/12/2019 0:00,15.8,6.8,13.3,1.002
11/12/2019 1:00,10.1,5.3,13,1.001
11/12/2019 2:00,18,2.8,12.9,1.001
11/12/2019 3:00,14.2,5.3,12.2,1.001
11/12/2019 4:00,19.3,2.5,11.8,1.001
11/12/2019 5:00,13.6,3.6,11.7,1.001
11/12/2019 6:00,16,8.2,12,1.001
11/12/2019 7:00,18.7,6,14,1.002
11/12/2019 8:00,13.8,4.5,17.3,1.002
11/12/2019 9:00,20.3,6,19.1,1.002
11/12/2019 10:00,9.6,6.5,23.1,1.002
11/12/2019 11:00,15.2,6.5,24.4,1.002
11/12/2019 12:00,15.5,8.2,24.6,1.001
11/12/2019 13:00,14.2,6.8,24.4,1.001
11/12/2019 14:00,17.5,4.4,23,1.001
11/12/2019 15:00,16.6,3.3,23.1,1.001
11/12/2019 16:00,14,3.3,22,1.001
11/12/2019 17:00,17.3,2.5,21.2,1.001
11/12/2019 18:00,29.7,20,19.9,1.001
11/12/2019 19:00,19.7,11.2,18.5,1.002
11/12/2019 20:00,24.3,9,16.1,1.002
11/12/2019 21:00,13.2,1.5,14.1,1.003
11/12/2019 22:00,12.4,,13.3,1.004
11/12/2019 23:00,15.4,2.5,13.2,1.004
12/12/2019 0:00,5.1,1.4,13.2,1.004
12/12/2019 1:00,6.3,1.5,13.6,1.003
12/12/2019 2:00,7.8,-0.7,13.7,1.003
12/12/2019 3:00,9,-0.1,13.8,1.003
12/12/2019 4:00,3,5,13.8,1.003
12/12/2019 5:00,2.6,4.4,13.9,1.003
12/12/2019 6:00,5.6,2.7,14.5,1.004
12/12/2019 7:00,13.5,1,15.4,1.004
12/12/2019 8:00,10.9,8.5,17,1.005
12/12/2019 9:00,9.7,,18,1.005
12/12/2019 10:00,8.1,11.1,20.9,1.005
12/12/2019 11:00,8.6,4,22.7,1.004
12/12/2019 12:00,11.6,4.4,22.8,1.004
12/12/2019 13:00,14.1,6.8,21.7,1.004
12/12/2019 14:00,15.6,4.2,20.8,1.004
12/12/2019 15:00,23.1,7.2,19.6,1.004
12/12/2019 16:00,25.4,2.6,19.3,1.003
12/12/2019 17:00,16.3,8.7,19.6,1.003
12/12/2019 18:00,14.9,3.7,18.4,1.004
12/12/2019 19:00,12.4,5,16.8,1.005
12/12/2019 20:00,15.2,7.3,14.7,1.005
12/12/2019 21:00,14.6,2.4,13.4,1.006
12/12/2019 22:00,11.5,3.8,12.9,1.006
12/12/2019 23:00,8.8,1.9,12.6,1.006
13/12/2019 0:00,8.2,0.2,12.2,1.006
13/12/2019 1:00,11.4,0.5,12.4,1.005
13/12/2019 2:00,12.1,1.7,12.3,1.005
13/12/2019 3:00,8.9,0.2,12,1.004
13/12/2019 4:00,7.8,2,12.3,1.004
13/12/2019 5:00,6.5,0.1,12.5,1.004
13/12/2019 6:00,9.5,3.2,12.6,1.004
13/12/2019 7:00,11,7.2,13.3,1.005
13/12/2019 8:00,12.5,2.1,14.2,1.005
13/12/2019 9:00,7.6,,16.9,1.005
13/12/2019 10:00,5,,17.8,1.005
13/12/2019 11:00,6.2,2.2,19.2,1.004
13/12/2019 12:00,6.2,2,19.3,1.004
13/12/2019 13:00,10.3,5.5,18.8,1.004
13/12/2019 14:00,14.2,6.3,17.9,1.003
